,Neighborhood,Price,sq_mtrs,Bedrooms,Bathrooms
988,"Chelezo Apartments, Kilimani, Dagoretti North",98000.0,150.0,3.0,3.0
989,"Kidaruma, Kilimani, Dagoretti North",98000.0,3.0,3.0,3.0
990,"Off Raphta Road, Rhapta Road, Westlands",98000.0,4.0,4.0,4.0
991,"Kilimani, Dagoretti North",98000.0,3.0,3.0,4.0
992,"Kindaruma Rd , Kilimani, Dagoretti North",98000.0,3.0,3.0,3.0
993,"Kindaruma Road, Kilimani, Dagoretti North",98000.0,3.0,3.0,3.0
994,"King'ara Road, Lavington, Dagoretti North",100000.0,3.0,3.0,2.0
995,"Kilimani, Dagoretti North",100000.0,300.0,3.0,4.0
996,"Kilimani, Dagoretti North",100000.0,14.0,2.0,2.0
997,"Lavington, Dagoretti North",100000.0,3.0,3.0,2.0
998,"Kileleshwa, Dagoretti North",100000.0,170.0,3.0,4.0
999,"Kileleshwa, Dagoretti North",100000.0,230.0,3.0,4.0
1000,"Riverside, Westlands",100000.0,23.0,3.0,3.0
1001,"Rose Avenue, Kilimani, Dagoretti North",100000.0,250.0,3.0,3.0
1002,"Yaya , Tigoni , Kilimani, Dagoretti North",100000.0,120.0,1.0,1.0
1003,"Tigoni, Tigoni, Kilimani, Dagoretti North",100000.0,1.0,1.0,1.0
1004,"Gitanga/Amboseli Road, Lavington, Dagoretti North",100000.0,5.0,5.0,6.0
1005,"Kilimani, Dagoretti North",100000.0,2.0,2.0,2.0
1006,"2242, Dennis Pritt, Dagoretti North",100000.0,3.0,3.0,4.0
1007,"Valley Arcade, Dagoretti North",100000.0,260.0,3.0,4.0
1008,"Masanduku Lane, Lavington, Dagoretti North",100000.0,3.0,3.0,4.0
1009,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands",100000.0,1.0,1.0,1.0
1010,"801181, First avenue, Nyali Area, Nyali",100000.0,2700.0,3.0,4.0
1011,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands",100000.0,4.0,4.0,2.0
1012,"kilimani, Kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1013,"kilimani, Kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1014,"Rhapta Road, Westlands",100000.0,21780.0,3.0,3.0
1015,"Parklands, Westlands",100000.0,4.0,4.0,3.0
1016,"Waiyaki Way, Westlands",100000.0,3.0,3.0,2.0
1017,"Near Valley Arcade, Lavington, Dagoretti North",100000.0,180.0,3.0,4.0
1018,"Lavington, Dagoretti North",100000.0,160.0,3.0,5.0
1019,"Valley Arcade, Dagoretti North",100000.0,260.0,3.0,4.0
1020,"Masanduku Lane, Lavington, Dagoretti North",100000.0,3.0,3.0,4.0
1021,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands",100000.0,1.0,1.0,1.0
1022,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands",100000.0,4.0,4.0,2.0
1023,"Waiyaki Way, Westlands",100000.0,3.0,3.0,3.0
1024,"Rhapta Road, Westlands",100000.0,2.0,2.0,2.0
1025,"Westlands Area, Westlands",100000.0,3.0,3.0,2.0
1026,"Parklands, Westlands",100000.0,3.0,3.0,2.0
1027,"Rhapta Road, Westlands",100000.0,3.0,3.0,4.0
1028,"Riara Rd, Lavington, Dagoretti North",100000.0,3.0,3.0,3.0
1029,"Karen, Langata",100000.0,2.0,2.0,2.0
1030,"Oledume Road, Lavington, Dagoretti North",100000.0,3.0,3.0,2.0
1031,"Makueni Rd, Kileleshwa, Dagoretti North",100000.0,3.0,3.0,3.0
1032,"Lenana road, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1033,"Milimani, Milimani",100000.0,2.0,2.0,3.0
1034,"Parklands, Westlands",100000.0,3.0,3.0,2.0
1035,"Lavington, Dagoretti North",100000.0,3.0,3.0,3.0
1036,"Masari Road, Parklands, Westlands",100000.0,3.0,3.0,3.0
1037,"Parklands, Westlands",100000.0,3.0,3.0,2.0
1038,"Riara Road, Dagoretti North",100000.0,4.0,4.0,3.0
1039,"Kilimani, Dagoretti North",100000.0,4.0,4.0,2.0
1040,"Kolobot Gardens, Kolobot Close, Milimani, Milimani",100000.0,121.0,3.0,2.0
1041,"Off Denis Pritt, Kilimani, Dagoretti North",100000.0,14.0,2.0,3.0
1042,"Dennis Pritt, Kilimani, Dagoretti North",100000.0,1.0,1.0,1.0
1043,"Lavington, Dagoretti North",100000.0,3.0,3.0,4.0
1044,"Westlands Area, Westlands",100000.0,4.0,4.0,3.0
1045,"Westlands Area, Westlands",100000.0,3.0,3.0,2.0
1046,"Kileleshwa, Dagoretti North",100000.0,2.0,2.0,2.0
1047,"Westlands Area, Westlands",100000.0,2.0,2.0,1.0
1048,"Lavington, Dagoretti North",100000.0,4.0,4.0,4.0
1049,"04, kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1050,"riverside, Riverside, Riverside, Westlands",100000.0,3.0,3.0,2.0
1051,"kilimani, Kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1052,"kilimani, Kilimani, Kilimani, Dagoretti North",100000.0,4.0,4.0,4.0
1053,"lavington, Lavington, Lavington, Dagoretti North",100000.0,3.0,3.0,3.0
1054,"kilimani, Kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1055,"kilimani, kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1056,"Westlands Area, Westlands",100000.0,3.0,3.0,2.0
1057,"Runda, Westlands",100000.0,2.0,2.0,2.0
1058,"Mbaazi road, Mbaazi Road, Lavington, Dagoretti North",100000.0,158.0,3.0,2.0
1059,"Links road, Nyali voyager, Nyali Area, Nyali",100000.0,2500.0,2.0,2.0
1060,"Mandera Road, Kileleshwa, Dagoretti North",100000.0,124.0,2.0,3.0
1061,"Suswa Road, Parklands, Westlands",100000.0,3.0,3.0,2.0
1062,"near Kasuku Center, Kileleshwa, Dagoretti North",100000.0,2.0,2.0,3.0
1063,"Westlands Area, Westlands",100000.0,3.0,3.0,3.0
1064,"Westlands Area, Westlands",100000.0,2.0,2.0,2.0
1065,"Waiyaki Way, Westlands",100000.0,2.0,2.0,2.0
1066,"Runda, Westlands",100000.0,2.0,2.0,2.0
1067,"Denis Pritt Road, Kilimani, Dagoretti North",100000.0,1.0,1.0,1.0
1068,"Westlands Area, Westlands",100000.0,186.0,3.0,3.0
1069,"Brookside , Westlands Area, Westlands",100000.0,2.0,2.0,2.0
1070,"Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1071,"Kilimani, Dagoretti North",100000.0,3.0,3.0,4.0
1072,"Rhapta Road, Rhapta Road, Westlands",100000.0,3.0,3.0,3.0
1073,"Riverside, Westlands",100000.0,3.0,3.0,2.0
1074,"near Kasuku Center, Kileleshwa, Dagoretti North",100000.0,2.0,2.0,3.0
1075,"Suswa Road, Parklands, Westlands",100000.0,3.0,3.0,2.0
1076,"Rhapta Road, Westlands Area, Westlands",100000.0,120.0,1.0,2.0
1077,"Oldonyo Sabuk, General Mathenge, Westlands",100000.0,2.0,2.0,1.0
1078,"Riverside, Westlands",100000.0,4.0,4.0,4.0
1079,"Brookside, Westlands",100000.0,3.0,3.0,2.0
1080,"Westlands Area, Westlands",100000.0,2.0,2.0,2.0
1081,"Kileleshwa, Dagoretti North",100000.0,2.0,2.0,2.0
1082,"Brookside, Westlands",100000.0,3.0,3.0,3.0
1083,"Kileleshwa, Dagoretti North",100000.0,3.0,3.0,3.0
1084,"Brookside, Westlands",100000.0,3.0,3.0,3.0
1085,"Shanzu, Kisauni",100000.0,3.0,3.0,3.0
1086,"Parklands, Westlands",100000.0,4.0,4.0,4.0
1087,"Westlands Area, Westlands",100000.0,120.0,2.0,2.0
1088,"Thika Road, Thika Road",100000.0,2.0,2.0,2.0
1089,"Kolobot Drive, Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1090,"Kilimani, Dagoretti North",100000.0,2024.0,3.0,3.0
1091,"Mbaazi, Lavington, Dagoretti North",100000.0,1.0,1.0,1.0
1092,"Kindaruma , Kilimani, Dagoretti North",100000.0,2.0,2.0,2.0
1093,"Mbaazi, Lavington, Dagoretti North",100000.0,1.0,1.0,1.0
1094,"Dennis Pritt, Kilimani, Dagoretti North",100000.0,23.0,3.0,3.0
1095,"Laikipia Rd, Kileleshwa, Dagoretti North",100000.0,12.0,2.0,2.0
1096,"General Mathenge, General Mathenge, Westlands",100000.0,3.0,3.0,3.0
1097,"kilimani, kilimani, Kilimani, Dagoretti North",100000.0,3.0,3.0,3.0
1098,"mvuli road, Rhapta Road, Westlands",100000.0,3.0,3.0,3.0
1099,"Brookside groove, Brookside, Westlands",100000.0,2.0,2.0,2.0
1100,"Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1101,"Parklands, Westlands",100000.0,3.0,3.0,2.0
1102,"Nyali, Nyali Area, Nyali",100000.0,2480.0,3.0,4.0
1103,"Thigiri, Westlands",100000.0,1.0,1.0,2.0
1104,"Kilimani, Dagoretti North",100000.0,1.0,1.0,1.0
1105,"Valley Arcade, Lavington, Dagoretti North",100000.0,160.0,3.0,4.0
1106,"Mombasa, Nyali, Nyali Area, Nyali",100000.0,4.0,4.0,4.0
1107,"General Mathenge, General Mathenge, Westlands",100000.0,3.0,3.0,3.0
1108,"Off Othaya Road, Kileleshwa, Dagoretti North",100000.0,3.0,3.0,3.0
1109,"General Mathenge, Westlands",100000.0,3.0,3.0,2.0
1110,"Siaya Road, Kileleshwa, Dagoretti North",100000.0,3.0,3.0,4.0
1111,"Westlands Area, Westlands",100000.0,2.0,2.0,2.0
1112,"Nyari, Westlands",100000.0,1.0,1.0,2.0
1113,"Kileleshwa, Dagoretti North",100000.0,1.0,1.0,1.0
1114,"Kileleshwa, Dagoretti North",100000.0,2.0,2.0,2.0
1115,"Kileleshwa, Dagoretti North",100000.0,2.0,2.0,2.0
1116,"Kilimani, Dagoretti North",100000.0,3.0,3.0,2.0
1117,"Nyari, Westlands",100000.0,1.0,1.0,1.0
1118,"Kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",100000.0,2.0,2.0,2.0
1119,"Kileleshwa, Dagoretti North",100000.0,3.0,3.0,3.0
1120,"Riara road, Riara Road, Dagoretti North",100000.0,4.0,4.0,4.0
1121,"Lavington, Dagoretti North",100000.0,3.0,3.0,2.0
1122,"21 03 25, 33 RA, Lavington, Dagoretti North",100000.0,186.0,4.0,4.0
1123,"Parklands, Westlands",100000.0,3.0,3.0,3.0
1124,"Nyari, Westlands",100000.0,1.0,1.0,2.0
1125,"Lenana road, Kilimani, Dagoretti North",100000.0,3.0,3.0,4.0
1126,"Wuyi Plaza Galana Road, Kilimani, Dagoretti North",102000.0,3.0,3.0,2.0
1127,"Lenana rd,kilimani, Kilimani, Dagoretti North",105000.0,86.0,1.0,2.0
1128,"Kileleshwa, Dagoretti North",105000.0,2.0,2.0,2.0
1129,"Sports Road, Rhapta Road, Westlands",105000.0,1.0,1.0,1.0
1130,"Brookside, Westlands",110000.0,2.0,2.0,2.0
1131,"Kilimani, Dagoretti North",110000.0,3.0,3.0,2.0
1132,"Rhapta Road, Westlands",110000.0,3.0,3.0,4.0
1133,"Kilimani, Dagoretti North",110000.0,3.0,3.0,3.0
1134,"Riverside, Riverside, Riverside, Westlands",110000.0,167.0,1.0,2.0
1135,"Kilimani, Dagoretti North",110000.0,3.0,3.0,2.0
1136,"Kindaruma rd, Kilimani, Dagoretti North",110000.0,90.0,1.0,1.0
1137,"Dennis Sprit, Kilimani, Dagoretti North",110000.0,220.0,3.0,3.0
1138,"KANDARA ROAD, Kileleshwa, Dagoretti North",110000.0,2500.0,3.0,3.0
1139,"Rhapta road, Rhapta Road, Westlands",110000.0,3.0,3.0,4.0
1140,"lavington, Lavington, Lavington, Dagoretti North",110000.0,3.0,3.0,2.0
1141,"kilimani, Kilimani, Kilimani, Dagoretti North",110000.0,3.0,3.0,3.0
1142,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",110000.0,3.0,3.0,3.0
1143,"KILIMANI, WOOD AVENUE, Kilimani, Dagoretti North",110000.0,3.0,3.0,4.0
1144,"Muthaiga Area, Muthaiga",110000.0,3.0,3.0,2.0
1145,"Kahawa West, Roysambu",110000.0,4.0,4.0,3.0
1146,"General Mathenge, Westlands",110000.0,2.0,2.0,2.0
1147,"Parklands, Westlands",110000.0,3.0,3.0,3.0
1148,"Riverside Drive, Riverside, Westlands",110000.0,22.0,3.0,3.0
1149,"Lavington, Dagoretti North",110000.0,150.0,3.0,4.0
1150,"Riverside Drive, Riverside, Westlands",110000.0,3.0,3.0,3.0
1151,"Kilimani, Dagoretti North",110000.0,3.0,3.0,4.0
1152,"Westlands Area, Westlands",110000.0,4.0,4.0,2.0
1153,"Denis sprit , Kitale Lane , Kilimani, Dagoretti North",110000.0,1.0,1.0,1.0
1154,"westlands Avenue , Westlands Area, Westlands",110000.0,3.0,3.0,3.0
1155,"Mbaazi, Lavington, Dagoretti North",110000.0,2.0,2.0,2.0
1156,"Westlands, Westlands Area, Westlands",110000.0,90.0,1.0,1.0
1157,"Riara Road, Riara Road, Dagoretti North",110000.0,3.0,3.0,3.0
1158,"Siaya Road, Kileleshwa, Dagoretti North",110000.0,167.0,2.0,2.0
1159,"kilimani, Kilimani, Kilimani, Dagoretti North",110000.0,3.0,3.0,3.0
1160,"riverside, Riverside, Riverside, Westlands",110000.0,4.0,4.0,3.0
1161,"riverside, Riverside, Riverside, Westlands",110000.0,3.0,3.0,3.0
1162,"Lavington, Dagoretti North",110000.0,1.0,1.0,1.0
1163,"Westlands Area, Westlands",110000.0,1.0,1.0,2.0
1164,"Ngong Road, Ngong Road",110000.0,6.0,6.0,6.0
1165,"Acacia Drive Off Ruaka Road, Runda, Westlands",110000.0,3.0,3.0,2.0
1166,"marist lane, Karen, Langata",110000.0,2025.0,3.0,3.0
1167,"Ring Road Kilimani, Kilimani, Dagoretti North",110000.0,3.0,3.0,4.0
1168,"Riara Road, Kilimani, Dagoretti North",110000.0,4.0,4.0,3.0
1169,"Walk To Yaya, Kilimani, Dagoretti North",110000.0,3.0,3.0,4.0
1170,"Muthangari Drive, Waiyaki Way, Westlands",110000.0,91.0,2.0,2.0
1171,"Rhapta Road, Westlands",110000.0,1.0,1.0,1.0
1172,"9 Riverside Garden Close, Riverside Garden Close, Riverside, Westlands",110000.0,3.0,3.0,4.0
1173,"Suguta Road, Kileleshwa, Dagoretti North",110000.0,3.0,3.0,3.0
1174,"Riverside, Westlands",110000.0,418.0,3.0,3.0
1175,"General Mathenge, General Mathenge, Westlands",110000.0,2.0,2.0,2.0
1176,"Lavington, Dagoretti North",110000.0,180.0,3.0,4.0
1177,"Riverside, Westlands",110000.0,175.0,3.0,4.0
1178,"Westlands Area, Westlands",110000.0,160.0,3.0,4.0
1179,"Parklands, Westlands",110000.0,242.0,3.0,2.0
1180,"Brookside, Westlands Area, Westlands",110000.0,200.0,3.0,3.0
1181,"Kilimani, Dagoretti North",110000.0,3.0,3.0,2.0
1182,"Lavington, Dagoretti North",110000.0,250.0,4.0,2.0
1183,"Chaka Road , Kilimani, Dagoretti North",110000.0,220.0,3.0,3.0
1184,"Kilimani, Dagoretti North",110000.0,140.0,2.0,2.0
1185,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",110000.0,4.0,4.0,3.0
1186,"kilimani, kilimani, Kilimani, Dagoretti North",110000.0,3.0,3.0,3.0
1187,"Hurlingham Kilimani, Kilimani, Dagoretti North",110000.0,3.0,3.0,4.0
1188,"Brookside, Westlands",110000.0,4.0,4.0,3.0
1189,"Kilimani, Dagoretti North",110000.0,3.0,3.0,2.0
1190,"Westlands Area, Westlands",110000.0,1.0,1.0,2.0
1191,"Riverside, Westlands",110000.0,3.0,3.0,2.0
1192,"Lavington, Dagoretti North",110000.0,3.0,3.0,2.0
1193,"Westlands Area, Westlands",110000.0,1.0,1.0,2.0
1194,"Nyali, Links, Nyali Area, Nyali",110000.0,1842.0,3.0,2.0
1195,"Kileleshwa, Dagoretti North",110000.0,3.0,3.0,3.0
1196,"Kilimani, Dagoretti North",110000.0,2.0,2.0,2.0
1197,"Kirichwa road, Kilimani, Dagoretti North",110000.0,3.0,3.0,5.0
1198,"Parklands, Parklands, Westlands",110000.0,4.0,4.0,4.0
1199,"Near Sarit Center, Brookside, Westlands",110000.0,3.0,3.0,2.0
1200,"N/a, Near Yaya Centre, Kilimani, Dagoretti North",110000.0,1.0,1.0,1.0
1201,"Westlands Area, Westlands",110000.0,163.0,1.0,1.0
1202,"Rhapta Road, Westlands Area, Westlands",110000.0,180.0,2.0,3.0
1203,"Rhapta Road, Westlands Area, Westlands",110000.0,170.0,2.0,3.0
1204,"School Lane, Westlands Area, Westlands",110000.0,1.0,1.0,1.0
1205,"Rhapta Road, Westlands",110000.0,3.0,3.0,4.0
1206,"Lavington, Dagoretti North",110000.0,3.0,3.0,2.0
1207,"Kilimani, Dagoretti North",110000.0,2.0,2.0,2.0
1208,"Rhapta Road, Westlands",110000.0,3.0,3.0,4.0
1209,"Lavington, Dagoretti North",110000.0,3.0,3.0,2.0
1210,"Kileleshwa, Dagoretti North",112000.0,3.0,3.0,3.0
1211,"2Nd Parklands, Parklands, Westlands",112500.0,210.0,3.0,3.0
1212,"Sports Road, Palm Flats, Westlands Area, Westlands",115000.0,3.0,3.0,3.0
1213,"Riara Road, Riara Road, Dagoretti North",115000.0,223.0,3.0,3.0
1214,"Parklands, Westlands",115000.0,3.0,3.0,2.0
1215,"Westlands, Rhapta Road, Westlands",115000.0,3.0,3.0,3.0
1216,"Westlands Area, Westlands",115000.0,3.0,3.0,2.0
1217,"Waiyaki Way, Westlands",115000.0,2.0,2.0,2.0
1218,"Parklands, Westlands",115000.0,4.0,4.0,2.0
1219,"Kilimani, Dagoretti North",115000.0,3.0,3.0,4.0
1220,"Riverside, Westlands",115000.0,3.0,3.0,2.0
1221,"Marcus, Kilimani, Kilimani, Dagoretti North",115000.0,19.0,1.0,2.0
1222,"Westlands Area, Westlands",115000.0,3.0,3.0,3.0
1223,"Kilimani, Dagoretti North",115000.0,3.0,3.0,4.0
1224,"Elgoyo marakwet road, Kilimani, Dagoretti North",115000.0,3.0,3.0,2.0
1225,"Kilimani, Dagoretti North",115000.0,2.0,2.0,2.0
1226,"Rhapta Rd, Westlands Area, Westlands",115000.0,3.0,3.0,3.0
1227,"Rhapta Rd , Westlands Area, Westlands",115000.0,3.0,3.0,3.0
1228,"Westlands Area, Westlands",115000.0,3.0,3.0,3.0
1229,"Kileleshwa, Dagoretti North",115000.0,3.0,3.0,4.0
1230,"Kilimani, Dagoretti North",115000.0,220.0,3.0,3.0
1231,"Kilimani, Dagoretti North",115000.0,3.0,3.0,2.0
1232,"Lavington, Dagoretti North",115000.0,4.0,4.0,5.0
1233,"Rhapta Rd , Rhapta Road, Westlands",115000.0,3.0,3.0,3.0
1234,"Sandalwood, Riverside, Westlands",115000.0,3.0,3.0,3.0
1235,"Rhapta Rd, Rhapta Road, Westlands",115000.0,3.0,3.0,3.0
1236,"Laikipia Road, Kileleshwa, Dagoretti North",115000.0,100.0,1.0,1.0
1237,"Muringa Rd, Kilimani, Dagoretti North",115000.0,223.0,3.0,4.0
1238,"Lavington, Dagoretti North",118000.0,3.0,3.0,3.0
1239,"Off Riverside Drive, Riverside, Westlands",120000.0,3.0,3.0,2.0
1240,"East Church Road, Rhapta Road, Westlands",120000.0,3.0,3.0,2.0
1241,"Lavington, Lavington, Dagoretti North",120000.0,2.0,2.0,2.0
1242,"Rhapta Road, Rhapta Road, Westlands",120000.0,3.0,3.0,3.0
1243,"Riara Road, Dagoretti North",120000.0,3.0,3.0,3.0
1244,"Lavington, Dagoretti North",120000.0,3.0,3.0,2.0
1245,"East Church Road, Rhapta Road, Westlands",120000.0,279.0,4.0,4.0
1246,"Hurlingham, Dagoretti North",120000.0,1.0,1.0,1.0
1247,"Kilimani, Kilimani, Dagoretti North",120000.0,3.0,3.0,2.0
1248,"Chania Avenue, Kilimani, Dagoretti North",120000.0,4.0,4.0,3.0
1249,"General Mathenge, Westlands",120000.0,3.0,3.0,3.0
1250,"Suguta Road, Suguta Road - Kileleshwa, Kileleshwa, Dagoretti North",120000.0,2.0,2.0,3.0
1251,"Lavington, Dagoretti North",120000.0,3.0,3.0,5.0
1252,"Riverside, Westlands",120000.0,3.0,3.0,3.0
1253,"Riverside Drive, Nairobi , Riverside, Westlands",120000.0,223.0,3.0,2.0
1254,"Riara Road, Riara Road, Dagoretti North",120000.0,2.0,2.0,2.0
1255,"Nyali, Mombasa CBD, Mombasa CBD",120000.0,2430.0,3.0,3.0
1256,"Riverside, Westlands",120000.0,3.0,3.0,3.0
1257,"General Mathenge, Westlands",120000.0,300.0,4.0,4.0
1258,"Off Waiyaki Way, Waiyaki Way, Westlands",120000.0,4.0,4.0,2.0
1259,"Kilimani, Dagoretti North",120000.0,2500.0,3.0,4.0
1260,"Kileleshwa, Dagoretti North",120000.0,196.0,3.0,4.0
1261,"Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1262,"Rhapta Road, Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1263,"Rhapta Road, Rhapta Road, Westlands",120000.0,200.0,3.0,3.0
1264,"Waiyaki Way, Westlands",120000.0,2000.0,3.0,4.0
1265,"School Lane, Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1266,"Dennis Pritt, Kilimani, Dagoretti North",120000.0,3.0,3.0,4.0
1267,"Kileleshwa, Dagoretti North",120000.0,2.0,2.0,2.0
1268,"Brookside, Westlands",120000.0,4.0,4.0,2.0
1269,"Westlands Area, Westlands",120000.0,1.0,1.0,2.0
1270,"Riverside, Westlands",120000.0,3.0,3.0,3.0
1271,"Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1272,"21 05 05, 25 RA, Westlands Area, Westlands",120000.0,204.0,3.0,3.0
1273,"Swaminarayan Road, Parklands, Westlands",120000.0,2500.0,3.0,3.0
1274,"Kilimani, Dagoretti North",120000.0,186.0,3.0,3.0
1275,"Dennis Pritt, Kilimani, Dagoretti North",120000.0,8.0,1.0,1.0
1276,"Othaya, Kileleshwa, Dagoretti North",120000.0,1.0,1.0,1.0
1277,"Mbaazi, Masanduku, Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1278,"Chania Avenue, Kilimani, Dagoretti North",120000.0,4.0,4.0,2.0
1279,"Chania Avenue, Kilimani, Dagoretti North",120000.0,3.0,3.0,2.0
1280,"Kilimani, Dagoretti North",120000.0,2.0,2.0,2.0
1281,"Westlands Area, Westlands",120000.0,3.0,3.0,2.0
1282,"Riverside, Westlands",120000.0,3.0,3.0,2.0
1283,"Riverside, Westlands",120000.0,3.0,3.0,2.0
1284,"Menelik Rd, Kilimani, Nairobi, Nairobi County, KE, Kilimani, Dagoretti North",120000.0,181.0,3.0,3.0
1285,"Kileleshwa, Dagoretti North",120000.0,3.0,3.0,2.0
1286,"Parklands, Westlands",120000.0,4.0,4.0,4.0
1287,"Kilimani, Dagoretti North",120000.0,4.0,4.0,3.0
1288,"westlands, Westlands Area, Westlands",120000.0,1.0,1.0,1.0
1289,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",120000.0,186.0,3.0,2.0
1290,"Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1291,"Riverside, Westlands",120000.0,2.0,2.0,2.0
1292,"Thome, Roysambu",120000.0,3.0,3.0,3.0
1293,"Rhapta Road, Westlands",120000.0,3.0,3.0,3.0
1294,"Nyali, Nyali Area, Nyali",120000.0,2940.0,3.0,4.0
1295,"Kileleshwa, Dagoretti North",120000.0,3.0,3.0,2.0
1296,"General Mathenge , Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1297,"Riverside Dr, Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1298,"westlands, Westlands Area, Westlands",120000.0,1.0,1.0,1.0
1299,"Kilimani, Dagoretti North",120000.0,4.0,4.0,3.0
1300,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",120000.0,186.0,3.0,2.0
1301,"State House, Dagoretti North",120000.0,2.0,2.0,2.0
1302,"King'ara Close, Off King'ara Road, Riara Road, Dagoretti North",120000.0,3.0,3.0,2.0
1303,"Rhapta Road, Westlands Area, Westlands",120000.0,240.0,3.0,4.0
1304,"Rhapta Road, Westlands",120000.0,2500.0,3.0,4.0
1305,"vihiga Road, Vihiga Road, Kileleshwa, Dagoretti North",120000.0,3.0,3.0,4.0
1306,"Kilimani, Dagoretti North",120000.0,1.0,1.0,2.0
1307,"Kilimani, Dagoretti North",120000.0,3.0,3.0,2.0
1308,"Menelik Rd, Kilimani, Dagoretti North",120000.0,3.0,3.0,3.0
1309,"Kileleshwa, Dagoretti North",120000.0,3.0,3.0,3.0
1310,"Lavington, Dagoretti North",120000.0,3.0,3.0,4.0
1311,"Westlands Area, Westlands",120000.0,3.0,3.0,3.0
1312,"General Mathenge, General Mathenge, Westlands",120000.0,90.0,1.0,1.0
1313,"Lantana, Westlands Area, Westlands",120000.0,200.0,4.0,5.0
1314,"General Mathenge, Westlands",120000.0,2.0,2.0,2.0
1315,"1 Kilimani, Kilimani, Dagoretti North",120000.0,3.0,3.0,3.0
1316,"Kayawe, Kayawe, Kilimani, Dagoretti North",120000.0,3.0,3.0,3.0
1317,"Muthangari drive, Waiyaki Way, Westlands",120000.0,2.0,2.0,2.0
1318,"Laikipia Rd, Kileleshwa, Dagoretti North",120000.0,12.0,2.0,2.0
1319,"Kileleshwa, Dagoretti North",120000.0,23.0,3.0,4.0
1320,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",120000.0,4.0,4.0,4.0
1321,"Kilimani, Dagoretti North",120000.0,3.0,3.0,4.0
1322,"Gitanga, Gitanga Road, Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1323,"Westlands road, Westlands Area, Westlands",120000.0,1.0,1.0,1.0
1324,"Westlands Area, Westlands",120000.0,3.0,3.0,2.0
1325,"Lavington, Dagoretti North",120000.0,2.0,2.0,3.0
1326,"Brookside Drive, Parklands, Westlands",120000.0,150.0,4.0,3.0
1327,"Nyali, Nyali Area, Nyali",120000.0,2860.0,3.0,4.0
1328,"Gitanga Road, Lavington, Dagoretti North",120000.0,3.0,3.0,2.0
1329,"Riara Rd Maziwa,Lavington, Lavington, Dagoretti North",120000.0,150.0,3.0,3.0
1330,"Mandera Road, Kileleshwa, Dagoretti North",120000.0,138.0,3.0,4.0
1331,"Kilimani, Dagoretti North",120000.0,2.0,2.0,2.0
1332,"Gitanga road, Lavington, Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1333,"kolobot drive, Kilimani, Dagoretti North",120000.0,3.0,3.0,2.0
1334,"Near Valley Arcade, Lavington, Dagoretti North",120000.0,3.0,3.0,3.0
1335,"Yaya center, Kilimani, Dagoretti North",120000.0,3.0,3.0,2.0
1336,"Riara Rd, Lavington, Dagoretti North",120000.0,2.0,2.0,2.0
1337,"Westlands Area, Westlands",120000.0,1500.0,2.0,2.0
1338,"Westlands Area, Westlands",120000.0,1500.0,2.0,2.0
1339,"Westlands Area, Westlands",120000.0,2.0,2.0,2.0
1340,"Westlands Area, Westlands",120000.0,20000.0,1.0,1.0
1341,"Parklands, Westlands",120000.0,3.0,3.0,3.0
1342,"Kileleshwa, Dagoretti North",120000.0,2.0,2.0,2.0
1343,"Kileleshwa, Dagoretti North",120000.0,3.0,3.0,2.0
1344,"Rhapta Road, Westlands Area, Westlands",120000.0,230.0,3.0,2.0
1345,"Likoni Road, Nyali Area, Nyali",120000.0,3.0,3.0,3.0
1346,"Kilimani, Dagoretti North",120000.0,4.0,4.0,2.0
1347,"Kilimani, Dagoretti North",120000.0,1800.0,3.0,4.0
